Dependents,tenure,Contract,PaperlessBilling,MonthlyCharges,tenure_group,has_internet,num_addon_services,charge_category,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,Churn
1,64,0,0,81.05,3,1,2,2,1,0,0,1,0,1,0,0,0,0,0
0,29,0,1,95.9,2,1,2,3,1,0,0,0,0,1,0,1,0,0,1
0,49,2,0,67.4,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,15,0,1,51.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,1,45.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,51,1,1,106.8,3,1,2,3,1,0,0,0,0,1,0,1,0,0,0
1,65,0,1,85.75,3,1,2,2,1,0,0,1,0,1,0,0,0,0,0
0,56,1,1,75.75,3,1,2,2,0,0,0,0,0,1,0,0,0,1,0
1,72,2,0,105.25,3,1,2,3,1,0,0,1,0,0,0,1,0,0,0
1,71,2,1,82.0,3,1,3,2,0,0,0,1,0,0,0,1,0,1,0
1,59,2,1,72.1,3,1,2,2,0,0,0,0,0,0,0,1,0,1,0
0,23,0,1,81.0,1,1,1,2,1,0,0,0,0,0,0,1,0,0,1
0,70,2,1,113.0,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,70,2,0,79.6,3,1,3,2,0,0,0,1,0,0,0,1,0,1,0
0,70,2,0,19.85,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,60,1,0,24.15,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,43,0,1,75.35,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,38,1,0,20.05,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,2,0,1,54.4,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
1,43,1,1,24.45,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,53,0,1,108.25,3,1,3,3,1,0,0,0,0,1,0,1,0,1,0
0,56,2,1,99.9,3,1,3,3,1,0,0,0,0,1,0,1,0,1,0
0,1,0,1,85.7,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,2,0,1,45.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,72,2,1,115.75,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,41,2,0,20.65,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,1,54.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,6,0,1,89.35,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,57,1,1,70.1,3,1,1,2,0,0,0,1,0,0,0,0,0,0,1
0,71,2,1,115.05,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
1,46,0,1,110.2,2,1,3,3,1,0,0,1,0,1,0,0,0,1,0
0,71,2,1,24.4,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,11,0,0,74.95,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
0,7,0,0,69.15,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,32,0,1,35.15,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0
1,34,2,0,24.95,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,9,0,1,75.85,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0
0,17,1,1,96.65,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0
0,9,0,1,59.5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
0,46,1,0,55.65,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,10,1,0,40.25,0,1,3,1,0,0,0,1,0,1,0,0,0,1,0
1,64,1,1,92.85,3,1,2,2,1,0,0,0,0,1,0,1,0,0,0
1,0,2,0,80.85,0,1,3,2,0,0,0,1,0,1,0,1,0,0,0
0,21,2,0,35.1,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0
1,15,0,1,91.0,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0
1,66,1,1,75.1,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,38,0,1,102.6,2,1,2,3,1,0,0,0,0,1,0,1,0,0,0
1,55,2,1,69.05,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,7,0,1,64.95,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0
0,66,0,0,63.85,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0
0,53,0,1,46.3,3,1,2,1,0,0,0,1,0,1,0,0,0,0,0
0,51,2,1,83.25,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
1,16,0,1,112.95,1,1,3,3,1,0,0,1,0,0,0,1,0,1,0
0,3,0,1,20.75,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,19,0,0,59.55,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0
1,34,2,0,84.75,2,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,11,0,0,48.55,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
0,18,0,0,25.15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57,2,0,20.75,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,31,0,1,80.45,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,34,0,0,69.15,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,6,0,0,50.35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,72,2,1,89.85,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,65,0,1,95.45,3,1,2,3,1,0,0,0,0,1,0,1,0,0,0
1,39,2,0,25.0,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,44,1,1,61.5,2,1,3,1,0,0,0,1,0,1,0,1,0,0,0
1,62,2,0,20.65,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,69,2,1,79.45,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,59,1,1,82.95,3,1,3,2,1,0,0,1,0,1,0,1,0,0,0
0,7,0,1,99.8,0,1,1,3,1,0,0,0,0,1,0,0,0,0,1
0,1,0,1,78.95,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,31,1,1,50.05,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0
1,65,2,0,19.9,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,29,2,1,19.55,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,24,0,1,49.7,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1,40,2,1,24.8,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,2,0,1,45.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,94.95,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1
0,27,2,0,19.55,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,8,2,0,19.5,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,41,0,1,94.3,2,1,2,2,1,0,0,1,0,1,0,0,0,0,0
1,65,2,0,109.3,3,1,3,3,1,0,0,1,0,0,0,1,0,1,0
0,68,0,1,95.9,3,1,2,3,1,0,0,0,0,1,0,1,0,0,0
0,1,0,0,76.2,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1
0,5,0,1,81.0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
1,5,0,1,30.5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0,10,0,0,51.2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
0,19,0,1,94.95,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,44.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,69,2,1,43.95,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0
0,55,0,1,50.55,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,74.95,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,19,0,0,89.95,1,1,2,2,1,0,0,0,0,0,0,1,0,1,0
0,35,0,1,91.5,2,1,1,2,1,0,0,0,0,0,0,0,0,1,0
0,27,0,1,78.05,2,1,1,2,1,0,0,0,0,0,0,1,0,0,1
1,6,0,1,83.55,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
1,1,0,0,24.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43,0,1,94.1,2,1,2,2,1,0,0,1,0,1,0,0,0,0,0
0,44,1,1,54.0,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0
0,11,0,1,55.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,84.5,0,1,2,2,1,0,0,1,0,0,0,1,0,0,1
0,1,0,1,45.65,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,31,0,1,73.9,2,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,29,0,1,45.0,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0
1,5,0,0,20.35,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,64,2,1,99.0,3,1,2,3,1,0,0,1,0,0,0,1,0,0,0
0,5,0,1,69.05,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,1,0,0,76.35,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1
0,4,0,1,79.9,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,62,0,0,90.7,3,1,3,2,1,0,0,1,0,1,0,1,0,0,0
0,66,2,1,80.55,3,1,2,2,0,0,0,0,0,1,0,1,0,0,1
1,34,1,1,103.8,2,1,2,3,1,0,0,1,0,1,0,0,0,0,0
1,13,0,1,20.45,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,32,1,0,74.75,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0
0,42,0,1,84.65,2,1,0,2,1,0,0,0,0,0,0,0,0,0,1
1,7,0,0,48.7,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
1,72,2,1,60.0,3,1,3,1,0,0,0,0,0,1,0,1,0,1,0
0,5,0,0,67.95,0,1,2,2,0,0,0,0,0,0,0,1,0,1,1
0,67,1,0,20.55,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,61,1,0,103.9,3,1,3,3,1,0,0,0,0,1,0,1,0,1,0
1,60,1,1,74.85,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,44,1,0,65.4,2,1,2,2,0,0,0,1,0,0,0,0,0,1,0
0,2,0,1,95.85,0,1,1,3,1,0,0,0,0,0,0,1,0,0,1
0,47,1,0,26.9,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,40,0,1,50.85,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0
0,35,1,0,20.75,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,42,0,1,25.1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,67,1,1,19.45,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,60,1,1,71.75,3,1,2,2,0,0,0,1,0,1,0,0,0,0,0
0,3,0,1,83.9,0,1,1,2,1,0,0,0,0,0,0,0,0,1,1
0,13,2,0,19.95,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,70,1,0,115.55,3,1,4,3,1,0,0,1,0,1,0,1,0,1,1
0,1,0,1,85.45,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,68,2,0,64.1,3,1,2,1,0,0,0,0,0,1,0,0,0,1,0
0,16,0,1,78.75,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,57,0,1,87.55,3,1,3,2,1,0,0,1,0,1,0,0,0,1,0
0,38,1,1,70.15,2,1,3,2,0,0,0,0,0,1,0,1,0,1,1
0,45,0,1,70.05,2,1,2,2,0,0,0,1,0,0,0,0,0,1,0
0,31,0,1,59.05,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,48,0,1,105.25,2,1,2,3,1,0,0,1,0,1,0,0,0,0,0
1,5,0,0,34.25,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0
0,26,0,1,98.35,2,1,1,3,1,0,0,0,0,0,0,1,0,0,1
0,27,0,0,50.35,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,72,2,0,24.8,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,48,0,1,95.4,2,1,2,3,1,0,0,1,0,0,0,0,0,1,0
1,46,1,0,24.95,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,37,0,1,85.7,2,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,37,0,0,100.3,2,1,1,3,1,0,0,0,0,0,0,0,0,1,0
0,67,2,0,65.55,3,1,2,2,0,0,0,1,0,0,0,1,0,0,0
1,2,1,0,20.2,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,72,2,1,90.8,3,1,1,2,1,0,0,0,0,0,0,1,0,0,0
1,56,2,1,75.85,3,1,3,2,0,0,0,1,0,1,0,0,0,1,0
1,21,1,1,75.9,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0
1,63,1,1,91.35,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,64,0,1,73.55,3,1,1,2,1,0,0,1,0,0,0,0,0,0,0
0,6,0,1,84.4,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
1,52,2,1,25.05,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,34,0,1,96.35,2,1,2,3,1,0,0,0,0,1,0,0,0,1,0
1,14,0,0,69.2,1,1,2,2,0,0,0,1,0,1,0,0,0,0,0
0,72,2,0,24.3,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,18,0,1,95.95,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0
0,65,1,1,106.25,3,1,2,3,1,0,0,0,0,1,0,1,0,0,1
0,18,0,0,69.5,1,1,2,2,0,0,0,1,0,0,0,1,0,0,0
0,70,1,1,105.55,3,1,2,3,1,0,0,0,0,1,0,0,0,1,0
0,9,0,1,74.05,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,68,1,0,79.6,3,1,2,2,1,0,0,0,0,1,0,1,0,0,0
1,11,0,1,19.25,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
0,9,0,1,45.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,72,2,0,24.9,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,11,1,1,54.6,0,1,2,1,0,0,0,1,0,0,0,0,0,1,0
0,35,0,1,62.1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0
0,50,1,1,98.25,3,1,1,3,1,0,0,0,0,1,0,0,0,0,0
1,7,0,0,34.65,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0
0,71,2,0,25.55,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,5,0,1,93.9,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
1,64,1,0,90.25,3,1,1,2,1,0,0,0,0,0,0,1,0,0,0
1,15,1,0,55.2,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0
0,15,2,1,38.8,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
0,25,0,1,89.5,2,1,1,2,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,84.5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,4,0,1,19.95,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,72,2,0,107.45,3,1,3,3,1,0,0,1,0,0,0,1,0,1,0
0,24,0,1,89.55,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0
1,23,2,0,23.85,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,52,0,1,84.05,3,1,3,2,1,0,0,1,0,0,0,1,0,1,0
0,5,0,1,96.25,0,1,1,3,1,0,0,0,0,1,0,0,0,0,1
0,22,2,0,56.75,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0
0,69,2,1,112.55,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
1,25,0,0,20.05,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,0,20.9,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,0,91.7,0,1,2,2,1,0,0,0,0,1,0,0,0,1,1
1,8,0,0,21.05,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,71,2,1,82.7,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,34,1,0,116.25,2,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,29,1,0,19.1,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,68,2,0,25.05,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,4,0,0,19.75,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,71,1,1,79.05,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,25,2,0,99.3,2,1,2,3,1,0,0,0,0,0,0,1,0,1,0
1,23,0,1,55.3,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0
1,2,0,1,24.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,67,1,1,106.6,3,1,2,3,1,0,0,0,0,1,0,0,0,1,0
0,17,0,1,94.2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,49,1,1,56.3,3,1,2,1,0,0,0,0,0,1,0,0,0,1,0
1,57,0,1,74.3,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,18,0,1,75.6,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,15,0,1,96.3,1,1,3,3,1,0,0,1,0,0,0,1,0,1,1
0,64,2,1,105.25,3,1,2,3,1,0,0,0,0,1,0,0,0,1,0
0,54,0,0,109.55,3,1,3,3,1,0,0,1,0,1,0,1,0,0,0
0,56,0,0,104.75,3,1,2,3,1,0,0,0,0,1,0,1,0,0,0
0,12,0,1,100.15,0,1,1,3,1,0,0,0,0,0,0,1,0,0,1
0,26,1,0,59.45,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0
1,69,1,0,84.45,3,1,2,2,1,0,0,1,0,0,0,1,0,0,0
0,27,0,1,76.1,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,24,0,0,53.6,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0
0,30,0,1,74.75,2,1,2,2,0,0,0,1,0,1,0,0,0,0,0
1,3,0,1,80.7,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,40,1,0,55.8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,53,2,1,104.05,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
1,72,2,1,76.8,3,1,1,2,0,0,0,0,0,0,0,1,0,0,0
0,72,2,1,73.0,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,51,0,1,99.0,3,1,2,3,1,0,0,0,0,1,0,1,0,0,0
0,2,0,0,100.2,0,1,2,3,1,0,0,1,0,1,0,0,0,0,0
1,58,1,1,105.2,3,1,2,3,1,0,0,0,0,1,0,1,0,0,0
1,50,1,1,70.8,3,1,3,2,0,0,0,1,0,0,0,1,0,1,0
0,70,2,1,88.55,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,11,0,1,60.9,0,1,3,1,0,0,0,0,0,1,0,1,0,1,0
0,64,1,1,104.65,3,1,2,3,1,0,0,0,0,0,0,1,0,1,0
0,23,0,1,104.45,1,1,2,3,1,0,0,0,0,1,0,1,0,0,0
1,35,0,1,109.95,2,1,3,3,1,0,0,0,0,1,0,1,0,1,0
0,10,1,0,20.1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,15,0,1,100.15,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0
0,23,1,1,68.75,1,1,3,2,0,0,0,1,0,0,0,1,0,1,0
1,55,2,1,85.1,3,1,3,2,0,0,0,1,0,0,0,1,0,1,0
0,9,0,1,85.5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,21,0,1,73.7,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,53,1,1,60.05,3,1,2,1,0,0,0,1,0,0,0,0,0,1,1
0,51,2,0,24.95,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,21,0,0,65.35,1,1,2,2,0,0,0,1,0,0,0,1,0,0,0
1,41,1,1,66.5,2,1,2,2,0,0,0,0,0,1,0,0,0,1,1
0,10,0,1,19.85,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,2,0,0,70.35,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,72,2,1,90.8,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,32,0,1,104.9,2,1,2,3,1,0,0,0,0,0,0,1,0,1,1
1,3,0,1,80.0,0,1,2,2,1,0,0,0,0,1,0,0,0,1,0
0,11,0,1,84.8,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,24,0,1,84.85,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0
0,17,2,0,19.45,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,72,2,1,94.45,3,1,2,2,1,0,0,1,0,1,0,0,0,0,0
0,9,0,1,94.85,0,1,3,2,1,0,0,0,0,1,0,1,0,1,1
0,55,1,1,100.9,3,1,2,3,1,0,0,1,0,1,0,0,0,0,0
1,3,0,1,58.7,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,80.5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,66,1,0,115.8,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,20,0,0,70.55,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,3,0,1,20.05,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,19,1,1,65.35,1,1,2,2,0,0,0,0,0,1,0,0,0,1,0
1,72,2,0,55.3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,7,0,0,20.65,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,37,0,1,40.2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0
1,53,2,1,69.7,3,1,3,2,0,0,0,1,0,1,0,0,0,1,0
1,18,0,0,57.65,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,53,1,1,100.3,3,1,2,3,1,0,0,0,0,1,0,1,0,0,0
0,67,2,0,25.1,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,68,2,0,70.8,3,1,2,2,0,0,0,0,0,1,0,0,0,1,0
0,66,0,0,99.5,3,1,2,3,1,0,0,0,0,1,0,1,0,0,1
0,40,1,0,62.05,2,1,3,1,0,0,0,1,0,1,0,1,0,0,0
0,20,0,1,94.55,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,5,0,1,94.85,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,72,2,0,115.8,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,49,0,0,43.8,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,22,0,1,20.45,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,1,75.7,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
0,10,0,1,80.7,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
0,65,2,1,59.8,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0
1,50,1,1,69.65,3,1,2,2,0,0,0,0,0,0,0,1,0,1,0
0,54,2,1,74.55,3,1,2,2,0,0,0,1,0,1,0,0,0,0,0
0,49,0,1,85.3,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,7,0,1,85.2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
1,55,1,0,19.5,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,24,0,0,70.0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,47,1,0,20.55,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,20,0,1,81.0,1,1,2,2,1,0,0,0,0,0,0,1,0,1,0
1,59,2,0,25.45,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,55,0,1,94.45,3,1,2,2,1,0,0,0,0,1,0,1,0,0,0
0,71,2,0,19.1,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,15,0,1,96.5,1,1,2,3,1,0,0,1,0,0,0,1,0,0,0
0,13,0,1,23.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,1,24.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,25,1,1,19.5,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,23,0,1,93.5,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,36,1,1,76.35,2,1,4,2,0,0,0,1,0,1,0,1,0,1,0
1,72,2,1,25.1,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,53,1,0,110.5,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,8,0,0,100.85,0,1,1,3,1,0,0,0,0,1,0,0,0,0,1
0,13,0,1,73.75,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0
1,28,1,0,50.8,2,1,3,1,0,0,0,1,0,0,0,1,0,1,0
0,19,0,1,86.0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,21,0,0,75.3,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,54,2,0,60.0,3,1,2,1,0,0,0,1,0,0,0,0,0,1,0
1,52,1,1,95.7,3,1,2,3,1,0,0,0,0,1,0,1,0,0,0
0,9,0,1,79.75,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,20.25,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
0,1,0,0,45.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,13,0,0,44.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,46,0,1,84.8,2,1,2,2,1,0,0,0,0,0,0,1,0,1,0
0,3,0,1,78.5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,70,2,1,98.7,3,1,3,3,1,0,0,0,0,1,0,1,0,1,0
0,17,0,0,34.4,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0
1,55,1,1,103.7,3,1,3,3,1,0,0,0,0,1,0,1,0,1,0
0,6,1,1,49.25,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
0,35,1,1,99.25,2,1,2,3,1,0,0,0,0,0,0,1,0,1,0
0,57,2,1,95.25,3,1,1,3,1,0,0,0,0,0,0,1,0,0,1
1,69,2,0,20.2,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,67,2,1,59.55,3,1,3,1,0,0,0,0,0,1,0,1,0,1,0
0,9,0,1,20.45,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,34,0,1,97.65,2,1,0,3,1,0,0,0,0,0,0,0,0,0,1
0,1,0,1,79.55,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,56,0,1,106.6,3,1,2,3,1,0,0,1,0,1,0,0,0,0,0
0,66,1,1,114.3,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
1,15,0,1,59.65,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0
0,64,0,1,103.5,3,1,2,3,1,0,0,1,0,1,0,0,0,0,0
0,72,2,0,88.05,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,22,0,0,59.0,1,1,2,1,0,0,0,1,0,1,0,0,0,0,1
0,1,0,1,19.6,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
1,70,2,1,114.6,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,58,1,0,50.3,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0
1,64,2,1,60.05,3,1,3,1,0,0,0,1,0,0,0,1,0,1,0
0,31,0,1,55.25,2,1,2,1,0,0,0,0,0,0,0,1,0,1,1
